"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""440 J Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""900""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""440 J Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.681416,""longitude"":-117.09798},""url"":""https://www.zillow.com/homedetails/440-J-Ave-National-City-CA-91950/17096579_zpid/""}","https://www.zillow.com/homedetails/440-J-Ave-National-City-CA-91950/17096579_zpid/","440 J Ave, National City, CA 91950","CORE PROPERTY GROUP","$555,000","- Sold","2","bds","1","ba","900","sqft","Sold 12/20/2022","https://www.zillow.com/homedetails/440-J-Ave-National-City-CA-91950/17096579_zpid/","https://photos.zillowstatic.com/fp/70a57094fd58a10ea88a93f59ead7bce-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2315 Grove St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""948""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2315 Grove St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66883,""longitude"":-117.07996},""url"":""https://www.zillow.com/homedetails/2315-Grove-St-National-City-CA-91950/17099906_zpid/""}","https://www.zillow.com/homedetails/2315-Grove-St-National-City-CA-91950/17099906_zpid/","2315 Grove St, National City, CA 91950","KELLER WILLIAMS REALTY","$555,000","- Sold","2","bds","2","ba","948","sqft","Sold 07/15/2021","https://www.zillow.com/homedetails/2315-Grove-St-National-City-CA-91950/17099906_zpid/","https://photos.zillowstatic.com/fp/179f7e38916a15070e3f5a7e9fa88866-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2323 E 18th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,124""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2323 E 18th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.674175,""longitude"":-117.07955},""url"":""https://www.zillow.com/homedetails/2323-E-18th-St-National-City-CA-91950/17099419_zpid/""}","https://www.zillow.com/homedetails/2323-E-18th-St-National-City-CA-91950/17099419_zpid/","2323 E 18th St, National City, CA 91950","","$550,000","- Sold","2","bds","1","ba","1,124","sqft","Sold 03/24/2022","https://www.zillow.com/homedetails/2323-E-18th-St-National-City-CA-91950/17099419_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.67417526245117,-117.07955169677734&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=R1o6SnMU7Pq_eM7kEAazyByxCv8=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2126 O Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""959""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2126 O Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.668537,""longitude"":-117.08727},""url"":""https://www.zillow.com/homedetails/2126-O-Ave-National-City-CA-91950/17099681_zpid/""}","https://www.zillow.com/homedetails/2126-O-Ave-National-City-CA-91950/17099681_zpid/","2126 O Ave, National City, CA 91950","PACIFIC RANCH REALTY","$550,000","- Sold","2","bds","1","ba","959","sqft","Sold 04/08/2021","https://www.zillow.com/homedetails/2126-O-Ave-National-City-CA-91950/17099681_zpid/","https://photos.zillowstatic.com/fp/ea503432c1229af862813cac3fc6826e-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2749 Chaffee St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""800""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2749 Chaffee St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66711,""longitude"":-117.07249},""url"":""https://www.zillow.com/homedetails/2749-Chaffee-St-National-City-CA-91950/17100987_zpid/""}","https://www.zillow.com/homedetails/2749-Chaffee-St-National-City-CA-91950/17100987_zpid/","2749 Chaffee St, National City, CA 91950","ALLISON JAMES ESTATES & HOMES","$550,000","- Sold","2","bds","1","ba","800","sqft","Sold 09/01/2021","https://www.zillow.com/homedetails/2749-Chaffee-St-National-City-CA-91950/17100987_zpid/","https://photos.zillowstatic.com/fp/be840fb367501470a5c8b47f10dbb8a7-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2323 E 18th St E, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,124""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2323 E 18th St E"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/2323-E-18th-St-E-National-City-CA-91950/2067512989_zpid/""}","https://www.zillow.com/homedetails/2323-E-18th-St-E-National-City-CA-91950/2067512989_zpid/","2323 E 18th St E, National City, CA 91950","PRIME LOCATION","$550,000","- Sold","2","bds","1","ba","1,124","sqft","Sold 03/23/2022","https://www.zillow.com/homedetails/2323-E-18th-St-E-National-City-CA-91950/2067512989_zpid/","https://photos.zillowstatic.com/fp/b5fc10788c1b1d4f4da0a173f1733d5c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""521 L Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""675""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""521 L Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.681507,""longitude"":-117.09519},""url"":""https://www.zillow.com/homedetails/521-L-Ave-National-City-CA-91950/17096941_zpid/""}","https://www.zillow.com/homedetails/521-L-Ave-National-City-CA-91950/17096941_zpid/","521 L Ave, National City, CA 91950","BIG BLOCK REALTY, INC.","$540,000","- Sold","2","bds","1","ba","675","sqft","Sold 06/30/2021","https://www.zillow.com/homedetails/521-L-Ave-National-City-CA-91950/17096941_zpid/","https://photos.zillowstatic.com/fp/1b31b7b53f274214b24eefe59d836add-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1518 E 20th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""825""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1518 E 20th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66966,""longitude"":-117.08713},""url"":""https://www.zillow.com/homedetails/1518-E-20th-St-National-City-CA-91950/17099697_zpid/""}","https://www.zillow.com/homedetails/1518-E-20th-St-National-City-CA-91950/17099697_zpid/","1518 E 20th St, National City, CA 91950","HOMELISTER, INC.","$535,000","- Sold","2","bds","1","ba","825","sqft","Sold 10/27/2021","https://www.zillow.com/homedetails/1518-E-20th-St-National-City-CA-91950/17099697_zpid/","https://photos.zillowstatic.com/fp/f38ee4b5a704c35b7a72b8de1912f3ae-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2220 E 18th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""552""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2220 E 18th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.673584,""longitude"":-117.080154},""url"":""https://www.zillow.com/homedetails/2220-E-18th-St-National-City-CA-91950/17099561_zpid/""}","https://www.zillow.com/homedetails/2220-E-18th-St-National-City-CA-91950/17099561_zpid/","2220 E 18th St, National City, CA 91950","","$530,000","- Sold","2","bds","1","ba","552","sqft","Sold 12/02/2022","https://www.zillow.com/homedetails/2220-E-18th-St-National-City-CA-91950/17099561_zpid/","https://photos.zillowstatic.com/fp/62e94f0b6caa7a7b74e8443405dedbba-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2955 Baker Pl, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""522""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2955 Baker Pl"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66453,""longitude"":-117.067566},""url"":""https://www.zillow.com/homedetails/2955-Baker-Pl-National-City-CA-91950/52520675_zpid/""}","https://www.zillow.com/homedetails/2955-Baker-Pl-National-City-CA-91950/52520675_zpid/","2955 Baker Pl, National City, CA 91950","COLDWELL BANKER REALTY","$530,000","- Sold","2","bds","1","ba","522","sqft","Sold 04/06/2022","https://www.zillow.com/homedetails/2955-Baker-Pl-National-City-CA-91950/52520675_zpid/","https://photos.zillowstatic.com/fp/26d9ca10ec869d94079cf381aa862dde-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2220 E 18th St E, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""552""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2220 E 18th St E"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/2220-E-18th-St-E-National-City-CA-91950/2067023939_zpid/""}","https://www.zillow.com/homedetails/2220-E-18th-St-E-National-City-CA-91950/2067023939_zpid/","2220 E 18th St E, National City, CA 91950","SELLSTATE NEXT GEN REALTY","$530,000","- Sold","2","bds","1","ba","552","sqft","Sold 12/01/2022","https://www.zillow.com/homedetails/2220-E-18th-St-E-National-City-CA-91950/2067023939_zpid/","https://photos.zillowstatic.com/fp/f1ee65c75f46ae4141dbf367e9f96f24-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1838 Wilson Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""684""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1838 Wilson Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.665184,""longitude"":-117.10871},""url"":""https://www.zillow.com/homedetails/1838-Wilson-Ave-National-City-CA-91950/17098589_zpid/""}","https://www.zillow.com/homedetails/1838-Wilson-Ave-National-City-CA-91950/17098589_zpid/","1838 Wilson Ave, National City, CA 91950","KELLER WILLIAMS REALTY","$528,000","- Sold","2","bds","1","ba","684","sqft","Sold 01/18/2022","https://www.zillow.com/homedetails/1838-Wilson-Ave-National-City-CA-91950/17098589_zpid/","https://photos.zillowstatic.com/fp/32e6f38bdb91cb4e2c5dae0d88b0c1ce-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1035 E 15th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""948""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1035 E 15th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.673016,""longitude"":-117.093544},""url"":""https://www.zillow.com/homedetails/1035-E-15th-St-National-City-CA-91950/17099134_zpid/""}","https://www.zillow.com/homedetails/1035-E-15th-St-National-City-CA-91950/17099134_zpid/","1035 E 15th St, National City, CA 91950","FIRST TEAM REAL ESTATE","$525,000","- Sold","2","bds","1","ba","948","sqft","Sold 04/02/2021","https://www.zillow.com/homedetails/1035-E-15th-St-National-City-CA-91950/17099134_zpid/","https://photos.zillowstatic.com/fp/c42ba06a2a6aec6518b8a5e1e4ede738-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""540 E 24th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""672""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""540 E 24th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.663532,""longitude"":-117.09553},""url"":""https://www.zillow.com/homedetails/540-E-24th-St-National-City-CA-91950/17100016_zpid/""}","https://www.zillow.com/homedetails/540-E-24th-St-National-City-CA-91950/17100016_zpid/","540 E 24th St, National City, CA 91950","DOUGLAS ELLIMAN OF CALIFORNIA","$525,000","- Sold","2","bds","1","ba","672","sqft","Sold 09/13/2021","https://www.zillow.com/homedetails/540-E-24th-St-National-City-CA-91950/17100016_zpid/","https://photos.zillowstatic.com/fp/bcb40bea30eb2881588d15f9caaf56d5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2819 I Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,017""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2819 I Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.660767,""longitude"":-117.090546},""url"":""https://www.zillow.com/homedetails/2819-I-Ave-National-City-CA-91950/295364285_zpid/""}","https://www.zillow.com/homedetails/2819-I-Ave-National-City-CA-91950/295364285_zpid/","2819 I Ave, National City, CA 91950","","$525,000","- Sold","2","bds","1","ba","1,017","sqft","Sold 08/18/2022","https://www.zillow.com/homedetails/2819-I-Ave-National-City-CA-91950/295364285_zpid/","https://photos.zillowstatic.com/fp/e4a7ac5a0ad3848d907777c834045f6b-p_e.jpg","Save this home"
